service_type,pcode,pname,afcode,afname,pcategory,date,srtype,cat1,cat2,cat3,catxcode,md_id,act_cnt,cs_content
서비스유형구분,상품코드,상품명,거래처코드,거래처명,상품군,활동생성일자,SR성격_NEW,서비스유형_NEW대분류,서비스유형_NEW중분류,서비스유형_NEW소분류,서비스유형_NEW소분류코드,운영MD ID,활동건수,활동내용
공통,84x,★맥반석자수정온열뜸질기DA-xxx,xxxxxx,(주)메디칼드림,생활가전,x0xxxx0x,문의,교환/반품/AS관련,AS관련,AS요청/센터안내,OSxxxx0x,80xx0,x,@고객 : as요청건 / 자꾸 불량이라심 / 택배비 지불못함/ CS에서 해 달라심@CS : 담당부서 연락드림@연락처 : xx54xxxx@협력사문의/요구사항 :
공통,4xx,한솔 KCC 온돌마루 카페트 대형,x0x8xxx,타몰,생활가전,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80xx0,x,@고객 : 배송문의  / 당일 배송요청   / 배송시간 문자 수취인 :  (0x-xx45-xxxx/-xxx0-xxxx) [자택] 서울 구로구 5x-xx번지 x층@CS : 택배확인 x4시 연락  or 문자 @연락처 : -xxx0-xxxx @협력사문의/요구사항 : 대한 xx5xx08xx8xx 상품인수  x0xx-xx-x8 x5:5x 보내시는 고객님으로부터 상품을 인수받았습니다 대구월성  상품이동중  x0xx-xx-x0 05:xx 배달지역으로 상품이 이동중입니다. 옥천HUB  배달지도착  x0xx-xx-x0 xx:xx 고객님의 상품이 배달지에 도착하였습니다.(배달예정: -xx04-88x8) 구로공통,x8x4xxx8,국수제조기 요리손 BE-8000,x0xxxxx,벧엘전자,생활가전,x0xxxx0x,불만,상품품질관련,상품불량,기능/작동불량,OSx5x,80xx0,x,@고객 :- AS해서 보내준다햇는데 그냥 준다했다가 비용이 있다했다가 머하는거냐-  상품 언제보내줄꺼냐@CS : 불편죄송 x시문자 지연시문자@연락처 : 5xxx@협력사문의/요구사항 : AS비용저희가 지불할께요 금액 계좌 알려주세요 오늘 상품 출고가능한지요
공통,08x,조안 CL라텍스 x인용 소파+스툴,x0xxxxx,주식회사 서광,가구,x0xxxx0x,문의,배송관련,배송문의/요청,(직송)배송문의/요청,OSx00x0x,80x0x,x,고객:문자 받으심/ 금요일 꼭 배송요청 (성)CS:익일 오후 x시까지 xxx0xxxx 연락드림고객:수긍업체문의: 익일 금요일까지 꼭 배송부탁드립니다.<이관중지로 야간이관함>
공통,4xx,★동서 글로리 x단 와이드서랍장,x0x5xxx,(주)바스포르,가구,x0xxxx0x,문의,배송관련,지정일배송관련,지정일배송요청/문의,OSx00x0x,80x0x,x,@고객 : 이관 / 여 / 취소하지 말고 보내달라 / 배송은 언제인지  @CS : 오늘 주문건 / xxxx 전후 예정이나 정확한 일정 아니며 일정나오면 연락드리고 방문예정 @연락처 : x55xxxxx@협력사문의/요구사항 : ★동서 글로리 x단 와이드서랍장
공통,4xx,★동서 글로리 x단 와이드서랍장,x0x5xxx,(주)바스포르,가구,x0xxxx0x,문의,배송관련,지정일배송관련,지정일배송요청/문의,OSx00x0x,80x0x,x,★선배이관 ★@고객 : 취소처리 요청@CS : 취소후 4시까지 문자드림@연락처 : x55xxxxx
공통,x5x,모닝 소파베드,x00x884,주식회사 베스트리빙,가구,x0xxxx0x,문의,고객셀프처리미결관리,셀프처리미결-모바일/PC,후환불자동환불미결건,OSxx5,80x0x,x,@고객 : 환불처리 문의@CS : 확인후 x시까지 연락드림@연락처 : @협력사문의/요구사항 :
공통,x5x,모닝 소파베드,x00x884,주식회사 베스트리빙,가구,x0xxxx0x,불만,교환/반품/AS관련,기준외반품요청,기준외반품요청-상품불만족,OSxx0x0x,80x0x,x,@고객 : 입금했다고 하면서 반품해달라고 하고 화내면서 종료함 @CS : x0xx04x45x4xxx  x8000원 입금 확인됨 안내 / 반품처리 위해 담당부서 연결하려 했으나 빠른 처리 해달라고 하면서 종료함 @연락처 : x04xx8xx@협력사문의/요구사항 : 반품비용 x8000원 결제하고 전산반품처리하면 되는지 확인부탁드립니다.
공통,5xx,★루첸 스팀다리미 EHI-x00B,x004x00,짱스클럽,생활가전,x0xxxx0x,불만,상품품질관련,상품불량,외관불량,OSx5x,80xx0,x,@고객 : 제품 손잡이 부분 누르는 부분이 있으나 스팀은 나오지 않고  물줄기만 분사 된다고함  불량  반품요청 하십니다.     수취인 :  (-8x55-x885/-8x55-x885) [자택] 경기 용인시 수지구 죽전동 xx0x번지 신영한라프로방스 x04동 xx04호@CS : x8시까지 신속하게 (빠른) 확인후 연락(문자)드리겠습니다 / 지연시 문자발송 안내   @연락처 : -8x55-x885  @협력사문의/요구사항 :
공통,xx4,몬스터랙 x00_x단(x0×40×xx0),x0xxxxx,(주)상도가구,가구,x0xxxx0x,불만,상품품질관련,상품누락/오배송/파손,누락(본품/구성품/사은품),OSx5xx0x,80x0x,x,@고객 : 처음에 사진보내지않았냐? 왜빨리 처리안해주냐? 추가발송 5개 와야하는데 x개밖에안옴/ x개더 보내달라 불만/  @CS : 업체 확이？ x8시까지재연락/ 부재시문자수긍/ @연락처 : xxxx8xx4
공통,x4x,[일월] 뉴 숯 황토방매트 더블,x55x,(주) 진영의료기,생활가전,x0xxxx0x,문의,교환/반품/AS관련,AS관련,AS비용/처리방법문의,OSxxxx0x,80xx0,x,@고객 : 교환받았는데 한쪽만 불이 들어오고 한쪽은 들어오지 않는다심. 어떻게해야하냐심. @CS : 죄송하다말씀드림. 연락드릴수 있도록 접수하겠음.@연락처 : xxxxxx85@협력사문의/요구사항 :
공통,x4x,[일월] 뉴 숯 황토방매트 더블,x55x,(주) 진영의료기,생활가전,x0xxxx0x,불만,상품품질관련,상품불량,기능/작동불량,OSx5x,80xx0,x,@고객 : 조절기 교환받았음 똑같이 연결이 안되고 전원이 켜지지않음 / 매트자체가 문제가 있는것같음 / 업체 너무한다함 전달해달라함 @CS : 불편드려 죄송 업체 확인 익일 xx시까지 연락드림안내 / 죄송 그대로 전달해드림 @연락처 : xx0xxxxx@협력사문의/요구사항 : 조절기 맞교환 했으나 전원이 켜지지않습니다 확인부탁드립니다 주소 <대전 서구 둔산동 x8xx번지 청솔 x0동 xx04호>
공통,0xx,일월 나노륨플러스카페트 특대형,x55x,(주) 진영의료기,생활가전,x0xxxx0x,불만,상품품질관련,상품불량,기능/작동불량,OSx5x,80xx0,x,"@고객 : 어머님이 박스포장 못하시겠다고함, 알겠음@CS : 박스 두개 붙여서 테이핑처리라도 해주시면됨 / 다음주 화요일 진행상황 문자@연락처 : xx5xx8xx@협력사문의/요구사항 :"
